ID,Start time,Completion time,Email,Name,Qual foi seu semestre de ingresso na Universidade?,Neste momento você se encontra,Qual é o seu gênero?,"Durante as aulas, os professores costumam citar como o conteúdo atual se  relaciona com outras matérias do semestre ou de semestres anteriores",Com que frequência você utiliza conhecimentos de diferentes áreas em projetos do curso?,Em qual área você sente maior dificuldade de enxergar integração com o restante do curso?,Como você avalia a relevância profissional e acadêmica das matérias de humanas do curso,Com quais dessas áreas você já teve contato ao longo do curso?, Em quais tipos de atividades você mais percebe a interdisciplinaridade?,Você acha que o conceito de interdisciplinalidade está bem explícito para os discentes no início do curso?,Você acredita que deveria haver mais eventos interdisciplinares entre os cursos e outros departamentos?,Você acha que faltam Iniciações Cientificas com foco na interdisciplinalidade no departamento?,O curso de Sistemas de Informação promove a interdisciplinaridade entre as disciplinas ofertadas.,As disciplinas do curso são eficazes em auxiliar a aplicação de conhecimentos de diferentes áreas em projetos e situações reais.,Selecione a área que você considera possuir maior interação com Sistemas de Informação.,"Em uma escala de 0 a 10, quão interdisciplinares são as disciplinas do seu semestre atual em relação aos demais cursos da universidade?","Você participa ou já participou de atividades extracurriculares (como grupos de pesquisa, desenvolvimento de startups, ou competições tecnológicas) que exigiram o estudo prático de áreas fora da g...","Pensando nos desafios tecnológicos atuais (como integração de IA, sistemas autônomos ou lançamento de produtos no mercado), qual área de conhecimento interdisciplinar você sente que faz/fará mais ..."
23,2026-06-18 09:12:10,2026-06-18 10:08:50,anonymous,,2024.1,Semestralizado,Feminino,Às vezes,Frequentemente,"Nenhuma, vejo integração em todas",Muito relevante,"Ciências Exatas (ex: matemática, lógica, estatística);Ciências Humanas (ex: filosofia, ética, psicologia);Ciências Sociais (ex: sociologia, economia);Design e Arte (ex: UX/UI, design gráfico);",Disciplinas específicas;Atividades de extensão;Projetos práticos;Trabalhos em grupo;,Discordo parcialmente,Concordo totalmente,Concordo parcialmente,Neutro,Concordo Parcialmente,Design;Biologia;Engenharia;Economia;Estatística;Matemática;,5,Não participo ou nunca participei de atividades extracurriculares desse tipo.,"Nenhuma, sinto que a grade curricular cobre bem as necessidades práticas do mercado."
24,2026-06-18 10:15:55,2026-06-18 10:18:27,anonymous,,2025.1,Semestralizado,Feminino,Às vezes,Sempre,"Humanas/Sociais (Ética, Direito, Administração)",Pouco relevante,"Ciências Exatas (ex: matemática, lógica, estatística);Ciências Humanas (ex: filosofia, ética, psicologia);Ciências Sociais (ex: sociologia, economia);",Trabalhos em grupo;Projetos práticos;Disciplinas específicas;,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo Parcialmente,Concordo Parcialmente,Matemática;Engenharia;,6,"Sim, frequentemente aplico e estudo conhecimentos de outras áreas (ex: engenharia, gestão de negócios, eletrônica).","Engenharias (Hardware, robótica, redes de comunicação)"
25,2026-06-18 10:10:24,2026-06-18 10:27:06,anonymous,,2024.1,Semestralizado,Masculino,Às vezes,Sempre,"Humanas/Sociais (Ética, Direito, Administração)",Muito relevante,"Ciências Sociais (ex: sociologia, economia);Ciências Humanas (ex: filosofia, ética, psicologia);Ciências Exatas (ex: matemática, lógica, estatística);",Atividades de extensão;Trabalhos em grupo;Projetos práticos;,Não concordo nem discordo,Concordo totalmente,Concordo parcialmente,Discordo Parcialmente,Discordo Parcialmente,Matemática;,6,"Sim, frequentemente aplico e estudo conhecimentos de outras áreas (ex: engenharia, gestão de negócios, eletrônica).","Engenharias (Hardware, robótica, redes de comunicação)"
26,2026-06-18 10:25:32,2026-06-18 10:36:40,anonymous,,2025.1,Semestralizado,Masculino,Raramente,Às vezes,"Humanas/Sociais (Ética, Direito, Administração)",Relevante,"Ciências Sociais (ex: sociologia, economia);Ciências Exatas (ex: matemática, lógica, estatística);",Projetos práticos;Atividades de extensão;,Discordo parcialmente,Concordo totalmente,Concordo totalmente,Discordo Totalmente,Discordo Totalmente,Matemática;Estatística;,5,"Sim, frequentemente aplico e estudo conhecimentos de outras áreas (ex: engenharia, gestão de negócios, eletrônica).","Matemática e Estatística Avançada (Modelagem de dados, visão computacional)"
27,2026-06-18 10:07:21,2026-06-18 10:45:12,anonymous,,2024.1,Dessemestralizado,Masculino,Frequentemente,Frequentemente,"Nenhuma, vejo integração em todas",Muito relevante,"Ciências Exatas (ex: matemática, lógica, estatística);Ciências Humanas (ex: filosofia, ética, psicologia);Ciências Sociais (ex: sociologia, economia);",Projetos práticos;Trabalhos em grupo;Disciplinas específicas;Atividades de extensão;,Discordo totalmente,Concordo parcialmente,Concordo parcialmente,Discordo Parcialmente,Discordo Parcialmente,Matemática;Estatística;,7,"Sim, frequentemente aplico e estudo conhecimentos de outras áreas (ex: engenharia, gestão de negócios, eletrônica).","Nenhuma, sinto que a grade curricular cobre bem as necessidades práticas do mercado."
28,2026-06-18 12:05:35,2026-06-18 12:11:14,anonymous,,2025.1,Semestralizado,Masculino,Frequentemente,Sempre,"Nenhuma, vejo integração em todas",Pouco relevante,"Ciências Exatas (ex: matemática, lógica, estatística);Ciencias molestadas;",Projetos práticos;Atividades de extensão;,Concordo totalmente,Concordo parcialmente,Discordo parcialmente,Concordo Parcialmente,Concordo Totalmente,Matemática;Estatística;Engenharia;Tatugrilogia;,8,"Sim, frequentemente aplico e estudo conhecimentos de outras áreas (ex: engenharia, gestão de negócios, eletrônica).","Engenharias (Hardware, robótica, redes de comunicação)"
29,2026-06-18 12:32:08,2026-06-18 12:35:01,anonymous,,Outro,Dessemestralizado,Masculino,Raramente,Frequentemente,"Humanas/Sociais (Ética, Direito, Administração)",Neutro,"Ciências Sociais (ex: sociologia, economia);Ciências Humanas (ex: filosofia, ética, psicologia);Ciências Exatas (ex: matemática, lógica, estatística);",Atividades de extensão;,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Discordo Parcialmente,Discordo Parcialmente,Matemática;Engenharia;Estatística;,10,"Sim, frequentemente aplico e estudo conhecimentos de outras áreas (ex: engenharia, gestão de negócios, eletrônica).",Design e Interação (Experiência do usuário - UX/UI)
30,2026-06-18 14:06:50,2026-06-18 14:16:58,anonymous,,2022.2,Semestralizado,Feminino,Às vezes,Frequentemente,"Humanas/Sociais (Ética, Direito, Administração)",Pouco relevante,"Ciências Exatas (ex: matemática, lógica, estatística);Ciências Humanas (ex: filosofia, ética, psicologia);Ciências Sociais (ex: sociologia, economia);",Projetos práticos;,Discordo parcialmente,Concordo parcialmente,Não concordo nem discordo,Discordo Parcialmente,Discordo Parcialmente,Design;,5,"Sim, mas o escopo das minhas atividades se mantém restrito ao desenvolvimento de software e programação.","Engenharias (Hardware, robótica, redes de comunicação)"
31,2026-06-18 15:12:51,2026-06-18 15:20:22,anonymous,,2024.1,Semestralizado,Masculino,Sempre,Sempre,"Nenhuma, vejo integração em todas",Relevante,"Ciências Exatas (ex: matemática, lógica, estatística);Ciências Sociais (ex: sociologia, economia);Ciências Humanas (ex: filosofia, ética, psicologia);",Projetos práticos;Trabalhos em grupo;Atividades de extensão;,Não concordo nem discordo,Concordo parcialmente,Não concordo nem discordo,Concordo Parcialmente,Concordo Parcialmente,Matemática;,10,"Sim, frequentemente aplico e estudo conhecimentos de outras áreas (ex: engenharia, gestão de negócios, eletrônica).","Gestão e Empreendedorismo (Análise de mercado, validação de negócios, marketing)"
32,2026-06-19 10:44:09,2026-06-19 10:46:53,anonymous,,2022.2,Semestralizado,Feminino,Raramente,Às vezes,"Humanas/Sociais (Ética, Direito, Administração)",Pouco relevante,"Ciências Exatas (ex: matemática, lógica, estatística);Ciências Humanas (ex: filosofia, ética, psicologia);Ciências Sociais (ex: sociologia, economia);",Trabalhos em grupo;,Discordo parcialmente,Concordo parcialmente,Concordo parcialmente,Neutro,Concordo Parcialmente,Matemática;Estatística;Design;,5,"Sim, frequentemente aplico e estudo conhecimentos de outras áreas (ex: engenharia, gestão de negócios, eletrônica).","Matemática e Estatística Avançada (Modelagem de dados, visão computacional)"
33,2026-06-19 10:47:11,2026-06-19 10:52:20,anonymous,,2024.1,Dessemestralizado,Masculino,Às vezes,Frequentemente,"Humanas/Sociais (Ética, Direito, Administração)",Relevante,"Ciências Exatas (ex: matemática, lógica, estatística);Ciências Humanas (ex: filosofia, ética, psicologia);Ciências Sociais (ex: sociologia, economia);",Atividades de extensão;,Discordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo Parcialmente,Concordo Totalmente,Matemática;,7,"Sim, frequentemente aplico e estudo conhecimentos de outras áreas (ex: engenharia, gestão de negócios, eletrônica).","Gestão e Empreendedorismo (Análise de mercado, validação de negócios, marketing)"
34,2026-06-19 10:53:20,2026-06-19 10:56:41,anonymous,,2022.2,Semestralizado,Masculino,Às vezes,Raramente,"Humanas/Sociais (Ética, Direito, Administração)",Nada relevante,"Ciências Exatas (ex: matemática, lógica, estatística);Ciências Humanas (ex: filosofia, ética, psicologia);Ciências Sociais (ex: sociologia, economia);Design e Arte (ex: UX/UI, design gráfico);",Projetos práticos;Disciplinas específicas;,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Discordo Totalmente,Discordo Totalmente,Design;Engenharia;Estatística;Matemática;,3,"Sim, mas o escopo das minhas atividades se mantém restrito ao desenvolvimento de software e programação.","Matemática e Estatística Avançada (Modelagem de dados, visão computacional)"
35,2026-06-20 19:40:48,2026-06-20 19:43:56,anonymous,,2024.1,Semestralizado,Masculino,Às vezes,Raramente,"Nenhuma, vejo integração em todas",Relevante,"Ciências Exatas (ex: matemática, lógica, estatística);Ciências Humanas (ex: filosofia, ética, psicologia);Ciências Sociais (ex: sociologia, economia);Design e Arte (ex: UX/UI, design gráfico);",Projetos práticos;Atividades de extensão;,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Neutro,Neutro,Estatística;,6,"Sim, frequentemente aplico e estudo conhecimentos de outras áreas (ex: engenharia, gestão de negócios, eletrônica).","Engenharias (Hardware, robótica, redes de comunicação)"
36,2026-06-22 18:44:22,2026-06-22 18:57:21,anonymous,,2026.1,Semestralizado,Masculino,Sempre,Sempre,"Humanas/Sociais (Ética, Direito, Administração)",Neutro,"Ciências Exatas (ex: matemática, lógica, estatística);Ciências Sociais (ex: sociologia, economia);",Disciplinas específicas;Trabalhos em grupo;,Concordo totalmente,Não concordo nem discordo,Não concordo nem discordo,Concordo Totalmente,Neutro,Matemática;Estatística;,8,"Sim, frequentemente aplico e estudo conhecimentos de outras áreas (ex: engenharia, gestão de negócios, eletrônica).","Gestão e Empreendedorismo (Análise de mercado, validação de negócios, marketing)"
37,2026-06-25 08:10:33,2026-06-25 08:13:27,anonymous,,2024.1,Semestralizado,Feminino,Sempre,Frequentemente,"Nenhuma, vejo integração em todas",Muito relevante,"Ciências Exatas (ex: matemática, lógica, estatística);Ciências Humanas (ex: filosofia, ética, psicologia);Ciências Sociais (ex: sociologia, economia);",Atividades de extensão;Projetos práticos;,Concordo parcialmente,Concordo totalmente,Não concordo nem discordo,Concordo Totalmente,Concordo Totalmente,Estatística;,9,"Sim, frequentemente aplico e estudo conhecimentos de outras áreas (ex: engenharia, gestão de negócios, eletrônica).","Matemática e Estatística Avançada (Modelagem de dados, visão computacional)"
